Project,Test,assertion_roulette,conditional_test_logic,eager_test,fire_and_forget,indirect_testing,mystery_guest,resource_optimism,test_run_war,num_asserts,test_length
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest#aCreateStandaloneTaskForAnotherAssignee,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest#bCreateCheckTaskCreatedForSalaboyFromAnotherUser,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest#cCreateStandaloneTaskForGroupAndClaim,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest#dCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#aCreateStandaloneTaskForGroup,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#bClaimAndRelease,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#cCreateStandaloneTaskReleaseUnAuthorized,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#dCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#eCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#fCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest#gCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.RuntimeConfigurationTest#validatingConfigurationForUser,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0
