Feature,Importance
UIBrowserInPackage,0.09173941
FunctionHasDigits,0.073309004
FunctionWordCount,0.06749207
UIBrowserInClass,0.06602901
DatabaseInFunction,0.044341795
FileIOInPackage,0.043782547
ClassNameLength,0.04229939
DatabaseInClass,0.040989317
PackageLength,0.03956124
NetworkInClass,0.037082907
SleepOrWaitInFunction,0.03706226
TimeOrRandomInClass,0.036322888
AsyncInClass,0.035622932
TimeOrRandomInFunction,0.03533416
NetworkInPackage,0.034780897
FileIOInClass,0.03087
SleepOrWaitInClass,0.030682445
TestOrderInClass,0.030617867
NetworkInFunction,0.030002147
TestOrderInFunction,0.028984405
AsyncInFunction,0.028508529
FunctionNameLength,0.027127534
FileIOInFunction,0.023947412
UIBrowserInFunction,0.022235775
DatabaseInPackage,0.021274062
RetryFlakeInFunction,0.0
